frame_number,timestamp,track_id,x1,y1,x2,y2,confidence
291,11.64,10,622,388,635,403,1.0
292,11.68,10,622,388,635,403,1.0
293,11.72,10,622,388,635,403,1.0
294,11.76,10,622,388,635,403,1.0
295,11.8,10,622,388,635,403,1.0
296,11.84,10,622,388,635,403,1.0
297,11.88,10,622,388,635,403,1.0
298,11.92,10,622,388,635,403,1.0
299,11.96,10,622,388,635,403,1.0
300,12.0,10,622,388,635,403,1.0
301,12.04,10,622,388,635,403,1.0
302,12.08,10,622,388,635,403,1.0
303,12.12,10,622,388,635,403,1.0
304,12.16,10,622,388,635,403,1.0
305,12.2,10,622,388,635,403,1.0
306,12.24,10,622,388,635,403,1.0
322,12.88,15,974,323,997,340,1.0
323,12.92,15,974,323,997,340,1.0
324,12.96,15,974,323,997,340,1.0
325,13.0,15,974,323,997,340,1.0
326,13.04,15,974,323,997,340,1.0
326,13.04,16,1086,314,1112,327,1.0
327,13.08,15,974,323,997,340,1.0
327,13.08,16,1086,314,1112,327,1.0
328,13.12,15,974,323,997,340,1.0
328,13.12,16,1086,314,1112,327,1.0
328,13.12,17,1130,315,1149,329,1.0
329,13.16,15,974,323,997,340,1.0
329,13.16,16,1086,314,1112,327,1.0
329,13.16,17,1130,315,1149,329,1.0
